repository_id,project_type,project_title,primary_class,secondary_class,no_project_files
2,QD_PROJECT,Data from: Shaping medicinal product information – a before and after study exploring physicians’ perspectives on the summary of product characteristics,R86,C29,6
2,QD_PROJECT,Context-dependent effects of relative temperature extremes on bill morphology in a songbird,B07,C24,2
2,QD_PROJECT,Data from: the two faces of secondary contact on islands: introgressive hybridization between endemics and reproductive interference between endemics and introduced species,B07,C29,7
2,QD_PROJECT,The supply is there. So why can't pregnant and breastfeeding women in rural India get the COVID-19 vaccine? ,B07,C29,2
2,QD_PROJECT,Use of intrapartum evidence-based practices in childbirth after participating in the Senses of Birth intervention among Brazilian women,R86,,2
2,QD_PROJECT,Striated myocyte structural integrity: automated analysis of sarcomeric z-discs,C29,N72,6
2,QD_PROJECT,Data from: Effects of grasshoppers on prairies: herbivore composition matters more than richness in three grassland ecosystems,N72,B07,6
2,QD_PROJECT,Data from: Contrasting effects of spatial heterogeneity and environmental stochasticity on population dynamics of a perennial wildflower,B07,C24,3
2,QD_PROJECT,Repositories for taxonomic data: Where we are and what is missing,K62,N72,3
2,QD_PROJECT,Feasibility and acceptability of a tailored health coaching intervention to improve type 2 diabetes self-management in Saudi Arabia: A mixed-methods randomised feasibility trial,R86,B07,2
2,QD_PROJECT,"Genetic epidemiology of blood type, disease and trait variants, and genome-wide genetic diversity in over 11,000 domestic cats",N72,R86,2
2,QD_PROJECT,The simulation results of  relationship between cementation exponent m and total porosity of different diagenetic facies with different content of  parameters,C23,N72,9
2,QD_PROJECT,All data for: Megaherbivore impacts on ecosystem and Earth system functioning: The current state of the science,N72,B06,6
2,QD_PROJECT,Erectile Dysfunction and Penile Rehabilitation after Pelvic Fracture – a Systematic Review and Meta-Analysis,N72,A02,2
2,QD_PROJECT,Data from: Combination phosphodiesterase type 4 inhibitor and phosphodiesterase type 5 inhibitor treatment reduces non-voiding contraction in a rat model of overactive bladder,A01,C29,1
2,QD_PROJECT,Data from: How do organisational characteristics influence teamwork and service delivery in lung cancer diagnostic assessment programmes? A mixed-methods study,R86,,2
2,QD_PROJECT,Data from: Experimental reduction of plant abundance changes interaction frequency of a tri-trophic micro-food web: contrasting responses of generalists and specialists,N72,B07,1
2,QD_PROJECT,Data from: Quantitative heterodonty in Crocodylia: variability and decoupling in size and shape across modern and extinct taxa.,C10,E36,1
2,QD_PROJECT,Data from: Investigating clinical handover and healthcare communication for outpatients with chronic disease in India: a mixed-methods study,R86,,2
2,QD_PROJECT,Balantioides coli in other zoonotic parasites detected in noninvasive fecal samples of artiodactyls with emphasis on the bioinvasive in a state park in Brazil,A01,B06,2
2,QD_PROJECT,"Technology- and facility-level energy, cost, and environmental performance in U.S. chemicals, cement, iron and steel, food, and non-manufacturing industries",B06,D35,2
2,QD_PROJECT,Data from: Co-creation in fully remote software teams,K62,,3
2,QD_PROJECT,Appendices interview formats ,R86,,2
2,QD_PROJECT,Data from: Examining human-carnivore interactions using a socio-ecological framework: sympatric wild canids in India as a case study,B07,A01,1
2,QD_PROJECT,NIRS data during sandplay and interview,B07,C29,5
2,QD_PROJECT,Characteristics of households that were interviewed in a study that investigated factors driving tree species in cocoa farms in Cote d'Ivoire,A02,,1
2,QD_PROJECT,Data from: Community Credit interviews on trust in consumer financial services,L64,N72,3
2,QD_PROJECT,Interviews from field research in Rio de Janeiro State - Brazil,A01,C17,16
2,QD_PROJECT,Impact of Programming Workshops on Biomedical Reproducibility (IPWBR),K62,B07,20
2,QD_PROJECT,"Comparing travel behavior and opportunities to increase transportation sustainability in small cities, towns, and rural communities",C30,B06,3
2,QD_PROJECT,Semi-structured interview framework from: Growing together: Strengthening the partnership and impact of a zoo and community-led conservation organization,C30,K62,2
2,QD_PROJECT,Data from: Using local ecological knowledge to monitor threatened Mekong megafauna in Lao PDR,A03,B06,1
2,QD_PROJECT,Technology review and roadmap for inventorying complete streets for integration into pavement asset management systems,A02,C15,14
2,QD_PROJECT,Predicting potential distributions of large carnivores in Kenya: An occupancy study to guide conservation,B07,C29,20
2,QD_PROJECT,Data from: Factors affecting Japanese retirees’ healthcare service utilisation in Malaysia – a qualitative study,R86,,3
2,QD_PROJECT,Data from: Longitudinal analysis of impulse control disorders in Parkinson’s disease,C21,C23,1
2,QD_PROJECT,Teaching undergraduates with quantitative data in the social sciences at University of California Santa Barbara,Q85,,5
2,QD_PROJECT,Data from: A qualitative study exploring the health literacy issues in the care of Chinese American immigrants with diabetes,C10,C29,1
2,QD_PROJECT,An observational study of nicotine replacement therapy availability through pharmacist prescribing in the California Central Valley,B07,C12,2
2,QD_PROJECT,Dataset: Elisa cohort study on SARS-CoV-2 transmission,K62,K63,5
2,QD_PROJECT,Data from: Assessing changes in distribution of the endangered snow leopard Panthera uncia and its wild prey over 2 decades in the Indian Himalaya through interview-based occupancy surveys,A01,B07,2
2,QD_PROJECT,Data from: Exploring health literacy competencies toward patient education program for Chinese-speaking healthcare professionals: a Delphi study,R86,,1
2,QD_PROJECT,"Factors influencing the sustainability of homestead vegetable production intervention in Rufiji, Tanzania:  A cross-sectional mixed methods study",A01,B06,2
2,QD_PROJECT,Data from: Patients’ experiences with a behaviour change intervention to enhance physical activity in primary care: a mixed methods study,R86,B07,1
2,QD_PROJECT,Evaluating the Impact of a Mandatory Pre-Abortion Ultrasound Viewing Law: A Mixed Methods Study,N69,B07,3
2,QD_PROJECT,Data from: A qualitative study on the development and rectification of advanced medical students’ misconceptions about the physiological electrocardiogram (ECG),Q85,R86,1
2,QD_PROJECT,Data from: Evaluation of the first pharmacist-administered vaccinations in Western Australia: a mixed-methods study,K62,C26,2
2,QD_PROJECT,Expert consensus on core topics of sustainable development online learning module for family physicians: A Delphi study,Q85,R86,8
2,QD_PROJECT,Association of cataract and sun exposure in geographically diverse populations of India: the case study. first report of the ICMR-EYE SEE study group,C24,K62,2
2,QD_PROJECT,Data from: A low-cost solution for documenting distribution and abundance of endangered marine fauna and impacts from fisheries,A03,A01,1
2,QD_PROJECT,Effectiveness of seasonal malaria chemoprevention administered in a mass campaign in the Kedougou region of Senegal in 2016: a Case-control study,B07,C21,2
2,QD_PROJECT,Ethnobotanical study of medicinal plants used by Ensaro people to treat human diseases,B07,K62,5
2,QD_PROJECT,Beyond coproduction: A case study in direct funding to advance community-led resilience,N72,B07,2
2,QD_PROJECT,Data from: Hepatotoxicity of isotretinoin in patients with acne and Gilbert's syndrome: comparative study,R86,,1
2,QD_PROJECT,"Data from: Psychiatric disorders in C9orf72 kindreds: study of 1,414 family members",R86,,2
2,QD_PROJECT,"Data from: Mental illness, poverty and stigma in India: a case control study",R86,B07,2
